country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,source,reported_date
Netherlands,NL,NLD,17282163,,0,"Epidemic intelligence, national daily data",2020-07-21
Kosovo,,,1798506,,2,"Epidemic intelligence, national daily data",2020-10-24
Luxembourg,LU,LUX,613894,,0,"Epidemic intelligence, national daily data",2020-01-16
Georgia,GE,GEO,3989175,,0,"Epidemic intelligence, national daily data",2020-09-19
Sweden,SE,SWE,10230185,,41,"Epidemic intelligence, national daily data",2020-05-20
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-08-08
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-02-28
Greece,EL,GRC,10724599,,2,"Epidemic intelligence, national daily data",2020-04-09
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-10-05
Bulgaria,BG,BGR,7000039,,6,"Epidemic intelligence, national daily data",2020-09-04
United Kingdom,UK,GBR,66647112,,191,"Epidemic intelligence, national daily data",2020-10-22
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-01-14
Azerbaijan,AZ,AZE,10139175,,5,"Epidemic intelligence, national daily data",2020-06-21
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-10-14
Moldova,MD,MDA,4033963,,5,"Epidemic intelligence, national daily data",2020-07-29
Czechia,CZ,CZE,10649800,,18,"Epidemic intelligence, national daily data",2020-09-30
Italy,IT,ITA,60359546,,65,"Epidemic intelligence, national daily data",2020-06-09
Armenia,AM,ARM,2963234,,0,"Epidemic intelligence, national daily data",2020-03-10
Netherlands,NL,NLD,17282163,,6,"Epidemic intelligence, national daily data",2020-06-07
Austria,AT,AUT,8858775,,0,"Epidemic intelligence, national daily data",2020-01-08
Bulgaria,BG,BGR,7000039,,1,"Epidemic intelligence, national daily data",2020-04-08
United Kingdom,UK,GBR,66647112,,49,"Epidemic intelligence, national daily data",2020-10-04
Poland,PL,POL,37972812,,8,"Epidemic intelligence, national daily data",2020-09-28
Romania,RO,ROU,19414458,,45,"Epidemic intelligence, national daily data",2020-08-19
United Kingdom,UK,GBR,66647112,,0,"Epidemic intelligence, national daily data",2020-01-13
Gibraltar,GI,GIB,33691,,0,"Epidemic intelligence, national daily data",2020-01-15
Ukraine,UA,UKR,43733759,,19,"Epidemic intelligence, national daily data",2020-07-26
France,FR,FRA,67012883,,69,"Epidemic intelligence, national daily data",2020-10-06
Sweden,SE,SWE,10230185,,0,"Epidemic intelligence, national daily data",2020-01-17
Lithuania,LT,LTU,2794184,,1,"Epidemic intelligence, national daily data",2020-10-24
Germany,DE,DEU,83019213,,0,"Epidemic intelligence, national daily data",2020-01-06
Italy,IT,ITA,60359546,,2,"Epidemic intelligence, national daily data",2020-08-10
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-04-07
Kosovo,,,1798506,,2,"Epidemic intelligence, national daily data",2020-10-02
Moldova,MD,MDA,4033963,,5,"Epidemic intelligence, national daily data",2020-06-05
Romania,RO,ROU,19414458,,0,"Epidemic intelligence, national daily data",2020-02-29
Greece,EL,GRC,10724599,,2,"Epidemic intelligence, national daily data",2020-06-09
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-08-21
Monaco,MC,MCO,33085,,0,"Epidemic intelligence, national daily data",2020-03-15
Belgium,BE,BEL,11455519,,3,"Epidemic intelligence, national daily data",2020-09-16
Bulgaria,BG,BGR,7000039,,3,"Epidemic intelligence, national daily data",2020-05-03
Georgia,GE,GEO,3989175,,0,"Epidemic intelligence, national daily data",2020-09-25
Belarus,BY,BLR,9449321,,6,"Epidemic intelligence, national daily data",2020-05-22
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-02-02
Georgia,GE,GEO,3989175,,0,"Epidemic intelligence, national daily data",2020-07-26
Serbia,RS,SRB,6963764,,0,"Epidemic intelligence, national daily data",2020-10-06
Denmark,DK,DNK,5806081,,0,"Epidemic intelligence, national daily data",2020-03-09
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-10-20
Russia,RU,RUS,145934460,,119,"Epidemic intelligence, national daily data",2020-08-08
Austria,AT,AUT,8858775,,0,"Epidemic intelligence, national daily data",2020-01-20
United Kingdom,UK,GBR,66647112,,26,"Epidemic intelligence, national daily data",2020-07-16
Gibraltar,GI,GIB,33691,,0,"Epidemic intelligence, national daily data",2020-10-25
Sweden,SE,SWE,10230185,,83,"Epidemic intelligence, national daily data",2020-04-30
Spain,ES,ESP,46937060,,0,"Epidemic intelligence, national daily data",2020-01-23
Albania,AL,ALB,2862427,,4,"Epidemic intelligence, national daily data",2020-09-15
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-07-25
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-06-29
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-05-09
France,FR,FRA,67012883,,0,"Epidemic intelligence, national daily data",2020-08-27
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-10-10
Monaco,MC,MCO,33085,,0,"Epidemic intelligence, national daily data",2020-09-14
Armenia,AM,ARM,2963234,,0,"Epidemic intelligence, national daily data",2020-01-27
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-06-20
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-03-03
Greece,EL,GRC,10724599,,0,"Epidemic intelligence, national daily data",2020-01-17
Romania,RO,ROU,19414458,,24,"Epidemic intelligence, national daily data",2020-04-13
Netherlands,NL,NLD,17282163,,0,"Epidemic intelligence, national daily data",2020-02-16
Albania,AL,ALB,2862427,,0,"Epidemic intelligence, national daily data",2020-02-06
Croatia,HR,HRV,4076246,,2,"Epidemic intelligence, national daily data",2020-05-23
Belarus,BY,BLR,9449321,,0,"Epidemic intelligence, national daily data",2020-03-17
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-07-07
Portugal,PT,PRT,10276617,,2,"Epidemic intelligence, national daily data",2020-07-11
Moldova,MD,MDA,4033963,,8,"Epidemic intelligence, national daily data",2020-07-08
Luxembourg,LU,LUX,613894,,0,"Epidemic intelligence, national daily data",2020-09-25
Serbia,RS,SRB,6963764,,0,"Epidemic intelligence, national daily data",2020-03-06
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-09-29
Azerbaijan,AZ,AZE,10139175,,2,"Epidemic intelligence, national daily data",2020-06-01
Kosovo,,,1798506,,0,"Epidemic intelligence, national daily data",2020-06-03
